
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. DDS_PNFreq, 51, 83, 40, 0, 0, 2, 0, 2, 17
.	. COREDDS_C0, 51, 82, 40, 0, 0, 2, 0, 1, 0
.	.	. COREDDS_C0_COREDDS_C0_0_COREDDS_Z4_layer1, 51, 82, 40, 0, 0, 2, 0, 1, 0
.	.	.	. COREDDS_C0_COREDDS_C0_0_sin_cos_lut_Z1_layer1, 8, 67, 0, 0, 0, 2, 0, 0, 0
.	.	.	.	. COREDDS_C0_COREDDS_C0_0_qrtr_lut_Z2_layer1, 8, 60, 0, 0, 0, 2, 0, 0, 0
.	.	.	.	.	. COREDDS_C0_COREDDS_C0_0_wrapRam_9s_4s_27s_0s_1s_0s_0s_0s_512s_1_0, 0, 2, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. COREDDS_C0_COREDDS_C0_0_dds_g5_lsram_1, 0, 2, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. COREDDS_C0_COREDDS_C0_0_wrapRam_9s_4s_27s_0s_1s_0s_0s_0s_512s_1_1, 0, 9, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. COREDDS_C0_COREDDS_C0_0_dds_g5_lsram_0, 0, 9, 0, 0, 0, 1, 0, 0, 0
.	.	.	. dds_LUT_initializer_9s_4s_2s_9s_4s_512s_16s, 21, 8, 10, 0, 0, 0, 0, 1, 0
.	.	.	.	. dds_kitCountS_2s_3s_1s, 2, 3, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	. dds_kitCountS_9s_511s_1s, 9, 0, 10, 0, 0, 0, 0, 0, 0
.	.	.	.	. dds_kitDelay_bit_reg_3s, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. dds_kitSyncNgrst_1s, 6, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. dds_kitDelay_bit_reg_1s, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. dds_kitDelay_bit_reg_1s_0, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. dds_kitDelay_bit_reg_4s, 4, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. dds_quantizer_Z3_layer1, 22, 5, 30, 0, 0, 0, 0, 0, 0
.	.	.	.	. dds_ph_accumulator_1s_5s_17s_1000000s_0s_0s_82496_18, 22, 5, 17, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. dds_kitDelay_reg_17s_1s, 17, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. dds_kitDelay_reg_5s_1s, 5, 5, 0, 0, 0, 0, 0, 0, 0
.	. Negative_Integer_4, 0, 1, 0, 0, 0, 0, 0, 0, 0
