pin,slack
p_real_obuf[11]/U_IOTRI:D,
p_real_obuf[11]/U_IOTRI:DOUT,
p_real_obuf[11]/U_IOTRI:EOUT,
ov_0_m7_2:A,1500
ov_0_m7_2:B,1460
ov_0_m7_2:C,1388
ov_0_m7_2:D,1291
ov_0_m7_2:Y,1291
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_5:A,4140
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_5:IPB,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_5:IPC,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_5:IPD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_5:Y,4140
a_real_ibuf[0]/U_IOPAD:PAD,
a_real_ibuf[0]/U_IOPAD:Y,
p_real_obuf[6]/U_IOTRI:D,
p_real_obuf[6]/U_IOTRI:DOUT,
p_real_obuf[6]/U_IOTRI:EOUT,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_35:A,3798
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_35:IPB,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_35:IPC,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_35:IPD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_35:Y,3798
p_0_cry_0_CC_1:CC[0],3832
p_0_cry_0_CC_1:CC[1],3779
p_0_cry_0_CC_1:CC[2],3736
p_0_cry_0_CC_1:CC[3],2902
p_0_cry_0_CC_1:CI,2902
p_0_cry_0_CC_1:P[0],3080
p_0_cry_0_CC_1:P[1],3005
p_0_cry_0_CC_1:P[2],3123
p_0_cry_0_CC_1:P[3],
p_0_cry_0_CC_1:Y3A[0],3088
p_0_cry_0_CC_1:Y3A[1],3096
p_0_cry_0_CC_1:Y3A[2],3189
p_0_cry_0_CC_1:Y3A[3],
p_0_cry_0_CC_1:Y3[0],
p_0_cry_0_CC_1:Y3[1],
p_0_cry_0_CC_1:Y3[2],
p_0_cry_0_CC_1:Y3[3],
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_24:A,5179
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_24:Y,5179
p_real_obuf[0]/U_IOPAD:D,
p_real_obuf[0]/U_IOPAD:E,
p_real_obuf[0]/U_IOPAD:PAD,
b_real_ibuf[0]/U_IOIN:Y,
b_real_ibuf[0]/U_IOIN:YIN,
REG_OUT_R/Q[12]:ALn,
REG_OUT_R/Q[12]:CLK,
REG_OUT_R/Q[12]:D,3832
REG_OUT_R/Q[12]:EN,
REG_OUT_R/Q[12]:Q,
pi_0_cry_1:A,1934
pi_0_cry_1:B,1895
pi_0_cry_1:CC,4139
pi_0_cry_1:P,1895
pi_0_cry_1:S,4139
pi_0_cry_1:Y3,
pi_0_cry_1:Y3A,1987
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_27:A,3795
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_27:IPB,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_27:IPC,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_27:IPD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_27:Y,3795
REG_IN_AI/Q[7]:ALn,
REG_IN_AI/Q[7]:CLK,4167
REG_IN_AI/Q[7]:D,
REG_IN_AI/Q[7]:EN,
REG_IN_AI/Q[7]:Q,4167
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_16:A,5184
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_16:Y,5184
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_7:A,3939
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_7:IPB,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_7:IPC,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_7:IPD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_7:Y,3939
clk_ibuf/U_IOIN:Y,
clk_ibuf/U_IOIN:YIN,
p_imag_obuf[0]/U_IOPAD:D,
p_imag_obuf[0]/U_IOPAD:E,
p_imag_obuf[0]/U_IOPAD:PAD,
a_real_ibuf[3]/U_IOIN:Y,
a_real_ibuf[3]/U_IOIN:YIN,
p_real_obuf[10]/U_IOPAD:D,
p_real_obuf[10]/U_IOPAD:E,
p_real_obuf[10]/U_IOPAD:PAD,
REG_IN_A/Q[2]:ALn,
REG_IN_A/Q[2]:CLK,3875
REG_IN_A/Q[2]:D,
REG_IN_A/Q[2]:EN,
REG_IN_A/Q[2]:Q,3875
REG_AR/Q[7]:ALn,
REG_AR/Q[7]:CLK,5287
REG_AR/Q[7]:D,5207
REG_AR/Q[7]:EN,
REG_AR/Q[7]:Q,5287
p_imag_obuf[0]/U_IOTRI:D,
p_imag_obuf[0]/U_IOTRI:DOUT,
p_imag_obuf[0]/U_IOTRI:EOUT,
bbi_0_cry_5:A,4008
bbi_0_cry_5:B,3964
bbi_0_cry_5:CC,3843
bbi_0_cry_5:P,3964
bbi_0_cry_5:S,3843
bbi_0_cry_5:Y3,
bbi_0_cry_5:Y3A,4051
p_imag_obuf[13]/U_IOTRI:D,
p_imag_obuf[13]/U_IOTRI:DOUT,
p_imag_obuf[13]/U_IOTRI:EOUT,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_33:A,3795
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_33:IPB,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_33:IPC,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_33:IPD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_33:Y,3795
a_real_ibuf[7]/U_IOPAD:PAD,
a_real_ibuf[7]/U_IOPAD:Y,
a_real_ibuf[6]/U_IOPAD:PAD,
a_real_ibuf[6]/U_IOPAD:Y,
aia_0_cry_4:A,3928
aia_0_cry_4:B,3874
aia_0_cry_4:CC,3873
aia_0_cry_4:P,3874
aia_0_cry_4:S,3873
aia_0_cry_4:Y3,
aia_0_cry_4:Y3A,3949
p_imag_obuf[10]/U_IOTRI:D,
p_imag_obuf[10]/U_IOTRI:DOUT,
p_imag_obuf[10]/U_IOTRI:EOUT,
pi_0_cry_9:A,2158
pi_0_cry_9:B,2114
pi_0_cry_9:CC,3865
pi_0_cry_9:P,2119
pi_0_cry_9:S,3865
pi_0_cry_9:Y3,
pi_0_cry_9:Y3A,2114
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_29:A,3795
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_29:IPB,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_29:IPC,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_29:IPD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_29:Y,3795
REG_OUT_R/Q[15]:ALn,
REG_OUT_R/Q[15]:CLK,
REG_OUT_R/Q[15]:D,3796
REG_OUT_R/Q[15]:EN,
REG_OUT_R/Q[15]:Q,
REG_OUT_I/Q[4]:ALn,
REG_OUT_I/Q[4]:CLK,
REG_OUT_I/Q[4]:D,3853
REG_OUT_I/Q[4]:EN,
REG_OUT_I/Q[4]:Q,
pi_0_cry_10:A,2118
pi_0_cry_10:B,2078
pi_0_cry_10:CC,3802
pi_0_cry_10:P,2078
pi_0_cry_10:S,3802
pi_0_cry_10:Y3,
pi_0_cry_10:Y3A,2136
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_13:A,3911
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_13:IPB,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_13:IPC,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_13:IPD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_13:Y,3911
b_real_ibuf[0]/U_IOPAD:PAD,
b_real_ibuf[0]/U_IOPAD:Y,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_22:A,5182
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_22:Y,5182
p_real_obuf[1]/U_IOPAD:D,
p_real_obuf[1]/U_IOPAD:E,
p_real_obuf[1]/U_IOPAD:PAD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_1:A,4441
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_1:IPB,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_1:IPC,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_1:IPD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_1:Y,4441
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_20:A,5182
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_20:Y,5182
en_ibuf/U_IOIN:Y,
en_ibuf/U_IOIN:YIN,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_32:A,5186
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_32:Y,5186
p_real_obuf[13]/U_IOPAD:D,
p_real_obuf[13]/U_IOPAD:E,
p_real_obuf[13]/U_IOPAD:PAD,
b_real_ibuf[1]/U_IOPAD:PAD,
b_real_ibuf[1]/U_IOPAD:Y,
rst_ibuf/U_IOPAD:PAD,
rst_ibuf/U_IOPAD:Y,
REG_OUT_R/Q[6]:ALn,
REG_OUT_R/Q[6]:CLK,
REG_OUT_R/Q[6]:D,3892
REG_OUT_R/Q[6]:EN,
REG_OUT_R/Q[6]:Q,
b_real_ibuf[3]/U_IOPAD:PAD,
b_real_ibuf[3]/U_IOPAD:Y,
p_real_obuf[12]/U_IOPAD:D,
p_real_obuf[12]/U_IOPAD:E,
p_real_obuf[12]/U_IOPAD:PAD,
pi_0_cry_4:A,2009
pi_0_cry_4:B,1969
pi_0_cry_4:CC,3853
pi_0_cry_4:P,1969
pi_0_cry_4:S,3853
pi_0_cry_4:Y3,
pi_0_cry_4:Y3A,2057
REG_OUT_I/Q[0]:ALn,
REG_OUT_I/Q[0]:CLK,
REG_OUT_I/Q[0]:D,4392
REG_OUT_I/Q[0]:EN,
REG_OUT_I/Q[0]:Q,
a_real_ibuf[2]/U_IOPAD:PAD,
a_real_ibuf[2]/U_IOPAD:Y,
REG_OUT_I/Q[2]:ALn,
REG_OUT_I/Q[2]:CLK,
REG_OUT_I/Q[2]:D,4097
REG_OUT_I/Q[2]:EN,
REG_OUT_I/Q[2]:Q,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_4:A,5252
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_4:Y,5252
REG_AIRR/Q[7]:ALn,
REG_AIRR/Q[7]:CLK,1500
REG_AIRR/Q[7]:D,5287
REG_AIRR/Q[7]:EN,
REG_AIRR/Q[7]:Q,1500
b_real_ibuf[3]/U_IOIN:Y,
b_real_ibuf[3]/U_IOIN:YIN,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_25:A,3793
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_25:IPB,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_25:IPC,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_25:IPD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_25:Y,3793
b_imag_ibuf[0]/U_IOIN:Y,
b_imag_ibuf[0]/U_IOIN:YIN,
pi_0_cry_12:A,2113
pi_0_cry_12:B,2073
pi_0_cry_12:CC,3832
pi_0_cry_12:P,2073
pi_0_cry_12:S,3832
pi_0_cry_12:Y3,
pi_0_cry_12:Y3A,2084
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_15:A,3787
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_15:IPB,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_15:IPC,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_15:IPD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_15:Y,3787
p_imag_obuf[15]/U_IOTRI:D,
p_imag_obuf[15]/U_IOTRI:DOUT,
p_imag_obuf[15]/U_IOTRI:EOUT,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_16:A,5184
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_16:Y,5184
REG_OUT_I/Q[1]:ALn,
REG_OUT_I/Q[1]:CLK,
REG_OUT_I/Q[1]:D,4139
REG_OUT_I/Q[1]:EN,
REG_OUT_I/Q[1]:Q,
p_real_obuf[10]/U_IOTRI:D,
p_real_obuf[10]/U_IOTRI:DOUT,
p_real_obuf[10]/U_IOTRI:EOUT,
pi_0_cry_0_CC_1:CC[0],3832
pi_0_cry_0_CC_1:CC[1],3779
pi_0_cry_0_CC_1:CC[2],3736
pi_0_cry_0_CC_1:CC[3],1895
pi_0_cry_0_CC_1:CI,1895
pi_0_cry_0_CC_1:P[0],2073
pi_0_cry_0_CC_1:P[1],1998
pi_0_cry_0_CC_1:P[2],2116
pi_0_cry_0_CC_1:P[3],
pi_0_cry_0_CC_1:Y3A[0],2084
pi_0_cry_0_CC_1:Y3A[1],2092
pi_0_cry_0_CC_1:Y3A[2],2185
pi_0_cry_0_CC_1:Y3A[3],
pi_0_cry_0_CC_1:Y3[0],
pi_0_cry_0_CC_1:Y3[1],
pi_0_cry_0_CC_1:Y3[2],
pi_0_cry_0_CC_1:Y3[3],
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_35:A,3798
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_35:IPB,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_35:IPC,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_35:IPD,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_35:Y,3798
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_16:A,5178
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_16:Y,5178
b_real_ibuf[4]/U_IOPAD:PAD,
b_real_ibuf[4]/U_IOPAD:Y,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_10:A,5249
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_10:Y,5249
REG_OUT_I/Q[12]:ALn,
REG_OUT_I/Q[12]:CLK,
REG_OUT_I/Q[12]:D,3832
REG_OUT_I/Q[12]:EN,
REG_OUT_I/Q[12]:Q,
p_0_cry_14:A,3163
p_0_cry_14:B,3123
p_0_cry_14:CC,3736
p_0_cry_14:P,3123
p_0_cry_14:S,3736
p_0_cry_14:Y3,
p_0_cry_14:Y3A,3189
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_23:A,3793
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_23:IPB,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_23:IPC,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_23:IPD,
k1_mulonly_0[15_0]/MACC_PHYS_INST/CFG_23:Y,3793
p_real_obuf[9]/U_IOPAD:D,
p_real_obuf[9]/U_IOPAD:E,
p_real_obuf[9]/U_IOPAD:PAD,
ov_0_0:A,4435
ov_0_0:B,4377
ov_0_0:C,2902
ov_0_0:D,1291
ov_0_0:Y,1291
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_31:A,3796
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_31:IPB,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_31:IPC,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_31:IPD,
k2_mulonly_0[15_0]/MACC_PHYS_INST/CFG_31:Y,3796
a_imag_ibuf[7]/U_IOIN:Y,
a_imag_ibuf[7]/U_IOIN:YIN,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_5:A,4127
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_5:IPB,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_5:IPC,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_5:IPD,
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_5:Y,4127
a_real_ibuf[2]/U_IOIN:Y,
a_real_ibuf[2]/U_IOIN:YIN,
REG_BRR/Q[7]:ALn,
REG_BRR/Q[7]:CLK,2507
REG_BRR/Q[7]:D,5287
REG_BRR/Q[7]:EN,
REG_BRR/Q[7]:Q,2507
p_0_cry_11:A,3201
p_0_cry_11:B,3163
p_0_cry_11:CC,3764
p_0_cry_11:P,3163
p_0_cry_11:S,3764
p_0_cry_11:Y3,
p_0_cry_11:Y3A,3220
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_28:A,5185
k3_mulonly_0[15_0]/MACC_PHYS_INST/CFG_28:Y,5185
REG_OUT_R/Q[10]:ALn,
REG_OUT_R/Q[10]:CLK,
REG_OUT_R/Q[10]:D,3802
REG_OUT_R/Q[10]:EN,
REG_OUT_R/Q[10]:Q,
p_0_cry_8:A,3126
p_0_cry_8:B,3086
p_0_cry_8:CC,3795
p_0_cry_8:P,3086
p_0_cry_8:S,3795
p_0_cry_8:Y3,
p_0_cry_8:Y3A,3148
rst_ibuf/U_IOIN:Y,
rst_ibuf/U_IOIN:YIN,
a_imag_ibuf[2]/U_IOIN:Y,
a_imag_ibuf[2]/U_IOIN:YIN,
REG_OUT_OV/Q[0]:ALn,
REG_OUT_OV/Q[0]:CLK,
REG_OUT_OV/Q[0]:D,1291
REG_OUT_OV/Q[0]:EN,
REG_OUT_OV/Q[0]:Q,
REG_IN_BI/Q[2]:ALn,
REG_IN_BI/Q[2]:CLK,3881
